[P0] [HEARTBEAT] SimTick: 20 | NetHead: 19 | Confirmed: 16 | Missing: 4 frames
[P1] [HEARTBEAT] SimTick: 788 | NetHead: 787 | Confirmed: 786 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 796 | NetHead: 795 | Confirmed: 793 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 807 | NetHead: 806 | Confirmed: 805 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 807 | NetHead: 806 | Confirmed: 805 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 822 | NetHead: 821 | Confirmed: 819 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 822 | NetHead: 821 | Confirmed: 820 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 828 | NetHead: 827 | Confirmed: 826 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 843 | NetHead: 842 | Confirmed: 841 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 848 | NetHead: 847 | Confirmed: 846 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 856 | NetHead: 855 | Confirmed: 853 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 867 | NetHead: 866 | Confirmed: 865 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 867 | NetHead: 866 | Confirmed: 865 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 883 | NetHead: 882 | Confirmed: 880 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 882 | NetHead: 881 | Confirmed: 880 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 888 | NetHead: 887 | Confirmed: 886 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 903 | NetHead: 902 | Confirmed: 901 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 909 | NetHead: 908 | Confirmed: 907 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 916 | NetHead: 915 | Confirmed: 913 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 927 | NetHead: 926 | Confirmed: 925 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 927 | NetHead: 926 | Confirmed: 925 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 943 | NetHead: 942 | Confirmed: 940 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 942 | NetHead: 941 | Confirmed: 940 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 948 | NetHead: 947 | Confirmed: 946 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 963 | NetHead: 962 | Confirmed: 961 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 969 | NetHead: 968 | Confirmed: 967 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 976 | NetHead: 975 | Confirmed: 973 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 987 | NetHead: 986 | Confirmed: 985 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 987 | NetHead: 986 | Confirmed: 985 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 1003 | NetHead: 1002 | Confirmed: 1000 | Missing: 3 frames
[P5] [HEARTBEAT] SimTick: 1002 | NetHead: 1001 | Confirmed: 1000 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 1008 | NetHead: 1007 | Confirmed: 1006 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 1023 | NetHead: 1022 | Confirmed: 1021 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 1029 | NetHead: 1028 | Confirmed: 1027 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 1036 | NetHead: 1035 | Confirmed: 1033 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 1047 | NetHead: 1046 | Confirmed: 1045 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 1048 | NetHead: 1047 | Confirmed: 1046 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 1063 | NetHead: 1062 | Confirmed: 1061 | Missing: 2 frames
[P5] [HEARTBEAT] SimTick: 1062 | NetHead: 1061 | Confirmed: 1060 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 1068 | NetHead: 1067 | Confirmed: 1066 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 1083 | NetHead: 1082 | Confirmed: 1081 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 1089 | NetHead: 1088 | Confirmed: 1087 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 1096 | NetHead: 1095 | Confirmed: 1093 | Missing: 3 frames
[P3] [HEARTBEAT] SimTick: 1107 | NetHead: 1106 | Confirmed: 1105 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 1108 | NetHead: 1107 | Confirmed: 1106 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 1122 | NetHead: 1121 | Confirmed: 1120 | Missing: 2 frames
[P5] [HEARTBEAT] SimTick: 1122 | NetHead: 1121 | Confirmed: 1120 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 1129 | NetHead: 1128 | Confirmed: 1127 | Missing: 2 frames
[P0] [HEARTBEAT] SimTick: 1143 | NetHead: 1142 | Confirmed: 1141 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 1149 | NetHead: 1148 | Confirmed: 1146 | Missing: 3 frames
[P2] [HEARTBEAT] SimTick: 1155 | NetHead: 1154 | Confirmed: 1153 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 1167 | NetHead: 1166 | Confirmed: 1164 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 1167 | NetHead: 1166 | Confirmed: 1165 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 1181 | NetHead: 1180 | Confirmed: 1179 | Missing: 2 frames
[P5] [HEARTBEAT] SimTick: 1181 | NetHead: 1180 | Confirmed: 1179 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 1189 | NetHead: 1188 | Confirmed: 1186 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 1203 | NetHead: 1202 | Confirmed: 1201 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 1209 | NetHead: 1208 | Confirmed: 1207 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 1215 | NetHead: 1214 | Confirmed: 1213 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 1227 | NetHead: 1226 | Confirmed: 1224 | Missing: 3 frames
[P4] [HEARTBEAT] SimTick: 1227 | NetHead: 1226 | Confirmed: 1225 | Missing: 2 frames
[P6] [HEARTBEAT] SimTick: 1241 | NetHead: 1240 | Confirmed: 1239 | Missing: 2 frames
[P5] [HEARTBEAT] SimTick: 1241 | NetHead: 1240 | Confirmed: 1239 | Missing: 2 frames
[P7] [HEARTBEAT] SimTick: 1249 | NetHead: 1248 | Confirmed: 1246 | Missing: 3 frames
[P0] [HEARTBEAT] SimTick: 1263 | NetHead: 1262 | Confirmed: 1261 | Missing: 2 frames
[P1] [HEARTBEAT] SimTick: 1269 | NetHead: 1268 | Confirmed: 1267 | Missing: 2 frames
[P2] [HEARTBEAT] SimTick: 1275 | NetHead: 1274 | Confirmed: 1273 | Missing: 2 frames
[P4] [HEARTBEAT] SimTick: 1287 | NetHead: 1286 | Confirmed: 1285 | Missing: 2 frames
[P3] [HEARTBEAT] SimTick: 1288 | NetHead: 1287 | Confirmed: 1285 | Missing: 3 frames
[P6] [HEARTBEAT] SimTick: 1301 | NetHead: 1300 | Confirmed: 1299 | Missing: 2 frames
[P5] [HEARTBEAT] SimTick: 1301 | NetHead: 1300 | Confirmed: 1299 | Missing: 2 frames
